\ext\bcmath\libbcmath\src\num2str.c,<stdio.h>
\ext\bcmath\libbcmath\src\num2str.c,<stdlib.h>
\ext\bcmath\libbcmath\src\num2str.c,<ctype.h>
\ext\bcmath\libbcmath\src\num2str.c,<stdarg.h>
\ext\bcmath\libbcmath\src\num2str.c,bcmath.h
\ext\bcmath\libbcmath\src\num2str.c,private.h
\ext\bcmath\libbcmath\src\output.c,<config.h>
\ext\bcmath\libbcmath\src\output.c,<stdio.h>
\ext\bcmath\libbcmath\src\output.c,<stdlib.h>
\ext\bcmath\libbcmath\src\output.c,<ctype.h>
\ext\bcmath\libbcmath\src\output.c,<stdarg.h>
\ext\bcmath\libbcmath\src\output.c,bcmath.h
\ext\bcmath\libbcmath\src\output.c,private.h
\ext\bcmath\libbcmath\src\raise.c,<config.h>
\ext\bcmath\libbcmath\src\raise.c,<stdio.h>
\ext\bcmath\libbcmath\src\raise.c,<stdlib.h>
\ext\bcmath\libbcmath\src\raise.c,<ctype.h>
\ext\bcmath\libbcmath\src\raise.c,<stdarg.h>
\ext\bcmath\libbcmath\src\raise.c,bcmath.h
\ext\bcmath\libbcmath\src\raise.c,private.h
\ext\bcmath\libbcmath\src\raisemod.c,<config.h>
\ext\bcmath\libbcmath\src\raisemod.c,<stdio.h>
\ext\bcmath\libbcmath\src\raisemod.c,<stdlib.h>
\ext\bcmath\libbcmath\src\raisemod.c,<ctype.h>
\ext\bcmath\libbcmath\src\raisemod.c,<stdarg.h>
\ext\bcmath\libbcmath\src\raisemod.c,bcmath.h
\ext\bcmath\libbcmath\src\raisemod.c,private.h
\ext\bcmath\libbcmath\src\raisemod.c,zend_exceptions.h
\ext\bcmath\libbcmath\src\recmul.c,<config.h>
\ext\bcmath\libbcmath\src\recmul.c,<stdio.h>
\ext\bcmath\libbcmath\src\recmul.c,<assert.h>
\ext\bcmath\libbcmath\src\recmul.c,<stdlib.h>
\ext\bcmath\libbcmath\src\recmul.c,<ctype.h>
\ext\bcmath\libbcmath\src\recmul.c,<stdarg.h>
\ext\bcmath\libbcmath\src\recmul.c,bcmath.h
